03/13 12:27:02.746/IST   WARN - Session Config - 2# no announce.new.markets property found in initialization file; defaulting to false
03/13 01:06:50.604/IST   INFO -  PriceChange - prices in market 'World Cup Final' changed.  World Cup Final:South Africa: 0, World Cup Final:Bangladesh: 0, World Cup Final:Ireland: 0, World Cup Final:Pakistan: 0, World Cup Final:West Indies: 0, World Cup Final:Austrailia: 99, World Cup Final:New Zealand: 0, World Cup Final:Sri Lanka: 0, World Cup Final:India: 0
03/13 01:06:50.604/IST   WARN -    UserError - 2053# told harit "Bought 30.421 shares of the team.".
03/13 01:06:50.677/IST   INFO -     NewChart - The chart for World Cup Final has been updated.
03/13 01:07:23.093/IST  DEBUG -      Trading - harit wants to buy Sri Lanka with limit of 25 @ 99.
03/13 01:07:48.659/IST  DEBUG -      Trading - harit wants to buy Sri Lanka with limit of 25 @ 99.
03/13 01:07:59.906/IST  DEBUG -      Trading - harit wants to buy Sri Lanka with limit of 25 @ 99.
03/13 01:08:33.114/IST  DEBUG -      Trading - harit wants to buy Bangladesh with limit of 25 @ 80.
03/13 01:08:59.871/IST  DEBUG -      Trading - harit wants to liquidate Austrailia
03/13 01:08:59.876/IST   INFO -  PriceAction - 2054# harit traded with the market maker for 0 of World Cup Final:India changing the price from 0 to 0
03/13 01:08:59.877/IST   INFO -  PriceAction - 2055# harit traded with the market maker for 0 of World Cup Final:Bangladesh changing the price from 0 to 0
03/13 01:08:59.877/IST   INFO -  PriceAction - 2056# harit traded with the market maker for 0 of World Cup Final:New Zealand changing the price from 0 to 0
03/13 01:08:59.877/IST   INFO -  PriceAction - 2057# harit traded with the market maker for 0 of World Cup Final:South Africa changing the price from 0 to 0
03/13 01:08:59.878/IST   INFO -  PriceAction - 2058# harit traded with the market maker for 0 of World Cup Final:Ireland changing the price from 0 to 0
03/13 01:08:59.878/IST   INFO -  PriceAction - 2059# harit traded with the market maker for 0 of World Cup Final:Sri Lanka changing the price from 0 to 0
03/13 01:08:59.879/IST   INFO -  PriceAction - 2060# harit traded with the market maker for 0 of World Cup Final:Pakistan changing the price from 0 to 0
03/13 01:08:59.879/IST   INFO -  PriceAction - 2061# harit traded with the market maker for 30.42 of World Cup Final:Austrailia changing the price from 99 to 100
03/13 01:08:59.879/IST   INFO -  PriceAction - 2062# harit traded with the market maker for 0 of World Cup Final:West Indies changing the price from 0 to 0
03/13 01:08:59.955/IST   INFO -     NewChart - The chart for World Cup Final has been updated.
03/13 01:08:59.956/IST   INFO -  PriceChange - prices in market 'World Cup Final' changed.  World Cup Final:India: 0, World Cup Final:Bangladesh: 0, World Cup Final:New Zealand: 0, World Cup Final:South Africa: 0, World Cup Final:Ireland: 0, World Cup Final:Sri Lanka: 0, World Cup Final:Pakistan: 0, World Cup Final:Austrailia: 100, World Cup Final:West Indies: 0
03/13 01:09:00.008/IST   INFO -     NewChart - The chart for World Cup Final has been updated.
03/13 01:09:00.008/IST   WARN -    UserError - 2288# told harit "Sold 30.420".
03/13 01:09:39.355/IST  DEBUG -      Trading - harit wants to liquidate Zimbabwe
03/13 01:09:39.361/IST   INFO -  PriceAction - 2313# harit traded with the market maker for -70.21 of India vs Zimbabwe:Zimbabwe changing the price from 99 to 43.28
03/13 01:09:39.362/IST   INFO -  PriceAction - 2314# harit traded with the market maker for 0 of India vs Zimbabwe:India changing the price from 1 to 56.72
03/13 01:09:39.400/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:09:39.401/IST   INFO -  PriceChange - prices in market 'India vs Zimbabwe' changed.  India vs Zimbabwe:Zimbabwe: 43, India vs Zimbabwe:India: 57
03/13 01:09:39.436/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:09:39.437/IST   WARN -    UserError - 2331# told harit "Sold 70.210".
03/13 01:09:48.882/IST  DEBUG -      Trading - harit wants to sell Zimbabwe with limit of 25 @ 1.
03/13 01:09:48.887/IST   INFO -  PriceAction - 2338# harit traded with the market maker for -31.97 of India vs Zimbabwe:Zimbabwe changing the price from 43 to 7.6042
03/13 01:09:48.888/IST   INFO -  PriceAction - 2339# harit traded with the market maker for 0 of India vs Zimbabwe:India changing the price from 57 to 92.3958
03/13 01:09:48.923/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:09:48.923/IST   INFO -  PriceChange - prices in market 'India vs Zimbabwe' changed.  India vs Zimbabwe:Zimbabwe: 8, India vs Zimbabwe:India: 92
03/13 01:09:48.924/IST   WARN -    UserError - 2340# told harit "Sold 31.97 shares of the team.".
03/13 01:09:48.968/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:09:53.795/IST  DEBUG -      Trading - harit wants to sell Zimbabwe with limit of 25 @ 1.
03/13 01:09:53.801/IST   INFO -  PriceAction - 2349# harit traded with the market maker for -25.998 of India vs Zimbabwe:Zimbabwe changing the price from 8 to 1.4147
03/13 01:09:53.801/IST   INFO -  PriceAction - 2350# harit traded with the market maker for 0 of India vs Zimbabwe:India changing the price from 92 to 98.5853
03/13 01:09:53.836/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:09:53.837/IST   INFO -  PriceChange - prices in market 'India vs Zimbabwe' changed.  India vs Zimbabwe:Zimbabwe: 1, India vs Zimbabwe:India: 99
03/13 01:09:53.837/IST   WARN -    UserError - 2351# told harit "Sold 25.998 shares of the team.".
03/13 01:09:53.884/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:09:57.549/IST   WARN -    UserError - 2362# told harit "the price is already lower than you requested.".
03/13 01:09:57.590/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:10:06.567/IST   WARN -    UserError - 2375# told harit "price must be greater than 0 and less than 100.".
03/13 01:10:18.940/IST  DEBUG -      Trading - harit wants to buy Zimbabwe with limit of 25 @ 20.
03/13 01:10:18.945/IST   INFO -  PriceAction - 2388# harit traded with the market maker for 0 of India vs Zimbabwe:India changing the price from 99 to 80
03/13 01:10:18.946/IST   INFO -  PriceAction - 2389# harit traded with the market maker for 46.303 of India vs Zimbabwe:Zimbabwe changing the price from 1 to 20
03/13 01:10:18.981/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:10:18.982/IST   INFO -  PriceChange - prices in market 'India vs Zimbabwe' changed.  India vs Zimbabwe:India: 80, India vs Zimbabwe:Zimbabwe: 20
03/13 01:10:18.983/IST   WARN -    UserError - 2390# told harit "Bought 46.303 shares of the team.".
03/13 01:10:19.028/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:10:25.855/IST  DEBUG -      Trading - harit wants to liquidate India
03/13 01:10:25.861/IST   INFO -  PriceAction - 2403# harit traded with the market maker for -11.67 of India vs Zimbabwe:India changing the price from 80 to 64.0506
03/13 01:10:25.862/IST   INFO -  PriceAction - 2404# harit traded with the market maker for 0 of India vs Zimbabwe:Zimbabwe changing the price from 20 to 35.9494
03/13 01:10:25.897/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:10:25.898/IST   INFO -  PriceChange - prices in market 'India vs Zimbabwe' changed.  India vs Zimbabwe:India: 64, India vs Zimbabwe:Zimbabwe: 36
03/13 01:10:25.932/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:10:25.933/IST   WARN -    UserError - 2405# told harit "Sold 11.670".
03/13 01:11:10.748/IST  DEBUG -      Trading - harit wants to liquidate India
03/13 01:11:10.785/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:11:10.786/IST   WARN -    UserError - 2420# told harit "Sold 0.000".
03/13 01:11:15.567/IST  DEBUG -      Trading - harit wants to buy Zimbabwe with limit of 25 @ 99.
03/13 01:11:15.573/IST   INFO -  PriceAction - 2437# harit traded with the market maker for 0 of India vs Zimbabwe:India changing the price from 50 to 8.8421
03/13 01:11:15.573/IST   INFO -  PriceAction - 2438# harit traded with the market maker for 33.666 of India vs Zimbabwe:Zimbabwe changing the price from 50 to 91.1579
03/13 01:11:15.611/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:11:15.612/IST   INFO -  PriceChange - prices in market 'India vs Zimbabwe' changed.  India vs Zimbabwe:India: 9, India vs Zimbabwe:Zimbabwe: 91
03/13 01:11:15.612/IST   WARN -    UserError - 2439# told harit "Bought 33.666 shares of the team.".
03/13 01:11:15.679/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:11:20.517/IST  DEBUG -      Trading - harit wants to buy Zimbabwe with limit of 25 @ 99.
03/13 01:11:20.523/IST   INFO -  PriceAction - 2456# harit traded with the market maker for 0 of India vs Zimbabwe:India changing the price from 9 to 1.5916
03/13 01:11:20.523/IST   INFO -  PriceAction - 2457# harit traded with the market maker for 26.129 of India vs Zimbabwe:Zimbabwe changing the price from 91 to 98.4084
03/13 01:11:20.559/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:11:20.559/IST   INFO -  PriceChange - prices in market 'India vs Zimbabwe' changed.  India vs Zimbabwe:India: 2, India vs Zimbabwe:Zimbabwe: 98
03/13 01:11:20.560/IST   WARN -    UserError - 2458# told harit "Bought 26.129 shares of the team.".
03/13 01:11:20.604/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:11:28.631/IST  DEBUG -      Trading - harit wants to buy Zimbabwe with limit of 25 @ 99.
03/13 01:11:28.637/IST   INFO -  PriceAction - 2477# harit traded with the market maker for 10.149 of India vs Zimbabwe:Zimbabwe changing the price from 98 to 99
03/13 01:11:28.638/IST   INFO -  PriceAction - 2478# harit traded with the market maker for 0 of India vs Zimbabwe:India changing the price from 2 to 1
03/13 01:11:28.672/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:11:28.673/IST   INFO -  PriceChange - prices in market 'India vs Zimbabwe' changed.  India vs Zimbabwe:Zimbabwe: 99, India vs Zimbabwe:India: 1
03/13 01:11:28.673/IST   WARN -    UserError - 2479# told harit "Bought 10.149 shares of the team.".
03/13 01:11:28.717/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:11:34.877/IST  DEBUG -      Trading - harit wants to liquidate Zimbabwe
03/13 01:11:34.882/IST   INFO -  PriceAction - 2500# harit traded with the market maker for -69.95 of India vs Zimbabwe:Zimbabwe changing the price from 99 to 43.7228
03/13 01:11:34.883/IST   INFO -  PriceAction - 2501# harit traded with the market maker for 0 of India vs Zimbabwe:India changing the price from 1 to 56.2772
03/13 01:11:34.918/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:11:34.919/IST   INFO -  PriceChange - prices in market 'India vs Zimbabwe' changed.  India vs Zimbabwe:Zimbabwe: 44, India vs Zimbabwe:India: 56
03/13 01:11:34.954/IST   INFO -     NewChart - The chart for India vs Zimbabwe has been updated.
03/13 01:11:34.955/IST   WARN -    UserError - 2502# told harit "Sold 69.950".
03/13 01:13:30.050/IST  DEBUG -      Trading - harit wants to buy Sri Lanka with limit of 25 @ 99.
03/13 01:13:30.058/IST   INFO -  PriceAction - 2561# harit traded with the market maker for 0 of World Cup Final:South Africa changing the price from 11 to 0.1236
03/13 01:13:30.059/IST   INFO -  PriceAction - 2562# harit traded with the market maker for 0 of World Cup Final:Bangladesh changing the price from 11 to 0.1236
03/13 01:13:30.059/IST   INFO -  PriceAction - 2563# harit traded with the market maker for 0 of World Cup Final:Pakistan changing the price from 11 to 0.1236
03/13 01:13:30.060/IST   INFO -  PriceAction - 2564# harit traded with the market maker for 0 of World Cup Final:Austrailia changing the price from 11 to 0.1236
03/13 01:13:30.060/IST   INFO -  PriceAction - 2565# harit traded with the market maker for 30.421 of World Cup Final:Sri Lanka changing the price from 11 to 99.0112
03/13 01:13:30.060/IST   INFO -  PriceAction - 2566# harit traded with the market maker for 0 of World Cup Final:New Zealand changing the price from 11 to 0.1236
03/13 01:13:30.061/IST   INFO -  PriceAction - 2567# harit traded with the market maker for 0 of World Cup Final:West Indies changing the price from 11 to 0.1236
03/13 01:13:30.061/IST   INFO -  PriceAction - 2568# harit traded with the market maker for 0 of World Cup Final:Ireland changing the price from 11 to 0.1236
03/13 01:13:30.062/IST   INFO -  PriceAction - 2569# harit traded with the market maker for 0 of World Cup Final:India changing the price from 11 to 0.1236
03/13 01:13:30.139/IST   INFO -     NewChart - The chart for World Cup Final has been updated.
03/13 01:13:30.140/IST   INFO -  PriceChange - prices in market 'World Cup Final' changed.  World Cup Final:South Africa: 0, World Cup Final:Bangladesh: 0, World Cup Final:Pakistan: 0, World Cup Final:Austrailia: 0, World Cup Final:Sri Lanka: 99, World Cup Final:New Zealand: 0, World Cup Final:West Indies: 0, World Cup Final:Ireland: 0, World Cup Final:India: 0
03/13 01:13:30.140/IST   WARN -    UserError - 2804# told harit "Bought 30.421 shares of the team.".
03/13 01:13:30.212/IST   INFO -     NewChart - The chart for World Cup Final has been updated.
03/13 01:13:40.467/IST  DEBUG -      Trading - harit wants to liquidate Sri Lanka
03/13 01:13:40.475/IST   INFO -  PriceAction - 2823# harit traded with the market maker for 0 of World Cup Final:India changing the price from 0 to 0
03/13 01:13:40.475/IST   INFO -  PriceAction - 2824# harit traded with the market maker for 0 of World Cup Final:Ireland changing the price from 0 to 0
03/13 01:13:40.476/IST   INFO -  PriceAction - 2825# harit traded with the market maker for 0 of World Cup Final:Bangladesh changing the price from 0 to 0
03/13 01:13:40.476/IST   INFO -  PriceAction - 2826# harit traded with the market maker for 0 of World Cup Final:South Africa changing the price from 0 to 0
03/13 01:13:40.476/IST   INFO -  PriceAction - 2827# harit traded with the market maker for 0 of World Cup Final:West Indies changing the price from 0 to 0
03/13 01:13:40.477/IST   INFO -  PriceAction - 2828# harit traded with the market maker for 0 of World Cup Final:Pakistan changing the price from 0 to 0
03/13 01:13:40.477/IST   INFO -  PriceAction - 2829# harit traded with the market maker for 0 of World Cup Final:Austrailia changing the price from 0 to 0
03/13 01:13:40.477/IST   INFO -  PriceAction - 2830# harit traded with the market maker for 30.42 of World Cup Final:Sri Lanka changing the price from 99 to 100
03/13 01:13:40.478/IST   INFO -  PriceAction - 2831# harit traded with the market maker for 0 of World Cup Final:New Zealand changing the price from 0 to 0
03/13 01:13:40.533/IST   INFO -     NewChart - The chart for World Cup Final has been updated.
03/13 01:13:40.533/IST   INFO -  PriceChange - prices in market 'World Cup Final' changed.  World Cup Final:India: 0, World Cup Final:Ireland: 0, World Cup Final:Bangladesh: 0, World Cup Final:South Africa: 0, World Cup Final:West Indies: 0, World Cup Final:Pakistan: 0, World Cup Final:Austrailia: 0, World Cup Final:Sri Lanka: 100, World Cup Final:New Zealand: 0
03/13 01:13:40.587/IST   INFO -     NewChart - The chart for World Cup Final has been updated.
03/13 01:13:40.588/IST   WARN -    UserError - 2832# told harit "Sold 30.420".
03/13 01:14:06.356/IST  DEBUG -      Trading - harit wants to buy Sri Lanka with limit of 25 @ 99.
03/13 01:14:06.362/IST   INFO -  PriceAction - 2896# harit traded with the market maker for 30.421 of World Cup Final:Sri Lanka changing the price from 11 to 99.0112
03/13 01:14:06.363/IST   INFO -  PriceAction - 2897# harit traded with the market maker for 0 of World Cup Final:Pakistan changing the price from 11 to 0.1236
03/13 01:14:06.363/IST   INFO -  PriceAction - 2898# harit traded with the market maker for 0 of World Cup Final:India changing the price from 11 to 0.1236
03/13 01:14:06.364/IST   INFO -  PriceAction - 2899# harit traded with the market maker for 0 of World Cup Final:South Africa changing the price from 11 to 0.1236
03/13 01:14:06.364/IST   INFO -  PriceAction - 2900# harit traded with the market maker for 0 of World Cup Final:West Indies changing the price from 11 to 0.1236
03/13 01:14:06.364/IST   INFO -  PriceAction - 2901# harit traded with the market maker for 0 of World Cup Final:Bangladesh changing the price from 11 to 0.1236
03/13 01:14:06.365/IST   INFO -  PriceAction - 2902# harit traded with the market maker for 0 of World Cup Final:Ireland changing the price from 11 to 0.1236
03/13 01:14:06.365/IST   INFO -  PriceAction - 2903# harit traded with the market maker for 0 of World Cup Final:New Zealand changing the price from 11 to 0.1236
03/13 01:14:06.365/IST   INFO -  PriceAction - 2904# harit traded with the market maker for 0 of World Cup Final:Austrailia changing the price from 11 to 0.1236
03/13 01:14:06.420/IST   INFO -     NewChart - The chart for World Cup Final has been updated.
03/13 01:14:06.420/IST   INFO -  PriceChange - prices in market 'World Cup Final' changed.  World Cup Final:Sri Lanka: 99, World Cup Final:Pakistan: 0, World Cup Final:India: 0, World Cup Final:South Africa: 0, World Cup Final:West Indies: 0, World Cup Final:Bangladesh: 0, World Cup Final:Ireland: 0, World Cup Final:New Zealand: 0, World Cup Final:Austrailia: 0
03/13 01:14:06.421/IST   WARN -    UserError - 2905# told harit "Bought 30.421 shares of the team.".
03/13 01:14:06.490/IST   INFO -     NewChart - The chart for World Cup Final has been updated.
03/13 01:14:14.016/IST  DEBUG -      Trading - harit wants to liquidate Sri Lanka
03/13 01:14:14.024/IST   INFO -  PriceAction - 2942# harit traded with the market maker for 0 of World Cup Final:Austrailia changing the price from 0 to 0
03/13 01:14:14.025/IST   INFO -  PriceAction - 2943# harit traded with the market maker for 30.42 of World Cup Final:Sri Lanka changing the price from 99 to 100
03/13 01:14:14.025/IST   INFO -  PriceAction - 2944# harit traded with the market maker for 0 of World Cup Final:Bangladesh changing the price from 0 to 0
03/13 01:14:14.025/IST   INFO -  PriceAction - 2945# harit traded with the market maker for 0 of World Cup Final:Pakistan changing the price from 0 to 0
03/13 01:14:14.026/IST   INFO -  PriceAction - 2946# harit traded with the market maker for 0 of World Cup Final:West Indies changing the price from 0 to 0
03/13 01:14:14.026/IST   INFO -  PriceAction - 2947# harit traded with the market maker for 0 of World Cup Final:India changing the price from 0 to 0
03/13 01:14:14.026/IST   INFO -  PriceAction - 2948# harit traded with the market maker for 0 of World Cup Final:New Zealand changing the price from 0 to 0
03/13 01:14:14.027/IST   INFO -  PriceAction - 2949# harit traded with the market maker for 0 of World Cup Final:Ireland changing the price from 0 to 0
03/13 01:14:14.027/IST   INFO -  PriceAction - 2950# harit traded with the market maker for 0 of World Cup Final:South Africa changing the price from 0 to 0
03/13 01:14:14.080/IST   INFO -     NewChart - The chart for World Cup Final has been updated.
03/13 01:14:14.081/IST   INFO -  PriceChange - prices in market 'World Cup Final' changed.  World Cup Final:Austrailia: 0, World Cup Final:Sri Lanka: 100, World Cup Final:Bangladesh: 0, World Cup Final:Pakistan: 0, World Cup Final:West Indies: 0, World Cup Final:India: 0, World Cup Final:New Zealand: 0, World Cup Final:Ireland: 0, World Cup Final:South Africa: 0
03/13 01:14:14.134/IST   INFO -     NewChart - The chart for World Cup Final has been updated.
03/13 01:14:14.134/IST   WARN -    UserError - 2951# told harit "Sold 30.420".
03/13 01:14:21.597/IST   WARN -    UserError - 2997# told User(logging in) "Please type an account name and password".
03/13 01:14:37.801/IST   WARN -    UserError - 2998# told User(logging in) "Please type an account name and password".
03/13 01:14:49.622/IST   WARN -    UserError - 2999# told User(logging in) "Please type an account name and password".
03/13 01:21:36.316/IST  DEBUG -      Trading - harit wants to sell Sri Lanka with limit of 25 @ 99.
